player_id,goals_p90,assists_p90,yellows_p90,reds_p90,euro_bonus,ambi_bonus,height_bonus,contract_bonus,gem_score,market_value_in_eur,name,sub_position,age,height_in_cm,image_url,current_club_name,url
796726,0.07685738684884715,0.3074295473953886,0.012297181895815544,0.003074295473953886,0.0,0.0,1.0,0.0,2.2789069171648166,600000,Renato Júnior,Centre-Forward,22,190,https://img.a.transfermarkt.technology/portrait/header/796726-1657665532.jpeg?lm=1,Viborg Fodsports Forening,https://www.transfermarkt.co.uk/renato-junior/profil/spieler/796726
811779,0.3011922192010036,0.20706965070069017,0.0017309897655230114,0.0,1.0,0.0,0.0,0.0,3.1254390583415654,45000000,Alejandro Garnacho,Left Winger,20,180,https://img.a.transfermarkt.technology/portrait/header/811779-1703629085.jpg?lm=1,Manchester United Football Club,https://www.transfermarkt.co.uk/alejandro-garnacho/profil/spieler/811779
814525,0.0,0.22613065326633183,0.010050251256281407,0.0,0.0,1.0,0.0,0.0,2.668341708542714,400000,Nikolaos Zouglis,Right Winger,20,180,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,A.G.S Asteras Tripolis,https://www.transfermarkt.co.uk/nikolaos-zouglis/profil/spieler/814525
840149,0.41899441340782134,0.08379888268156424,0.005985634477254588,0.0,0.0,0.0,1.0,0.0,3.3403830806065447,3000000,Matija Frigan,Centre-Forward,21,185,https://img.a.transfermarkt.technology/portrait/header/840149-1713450365.png?lm=1,Koninklijke Voetbal Club Westerlo,https://www.transfermarkt.co.uk/matija-frigan/profil/spieler/840149
847279,0.26254375729288193,0.05250875145857646,0.008751458576429404,0.0,0.0,0.0,0.0,0.0,1.4614935822637096,6000000,Oumar Diakité,Centre-Forward,20,182,https://img.a.transfermarkt.technology/portrait/header/847279-1723837401.png?lm=1,Stade de Reims,https://www.transfermarkt.co.uk/oumar-diakite/profil/spieler/847279
861410,0.5915492957746479,0.33802816901408417,0.0035211267605633804,0.0,1.0,0.0,0.0,0.0,4.968309859154929,45000000,Arda Güler,Right Winger,19,175,https://img.a.transfermarkt.technology/portrait/header/861410-1699472585.jpg?lm=1,Real Madrid Club de Fútbol,https://www.transfermarkt.co.uk/arda-guler/profil/spieler/861410
914562,0.21654135338345878,0.16240601503759383,0.004193582547919093,0.0,1.0,1.0,0.0,0.0,4.565731229482156,30000000,Désiré Doué,Left Winger,19,181,https://img.a.transfermarkt.technology/portrait/header/914562-1667317075.jpg?lm=1,Paris Saint-Germain Football Club,https://www.transfermarkt.co.uk/desire-doue/profil/spieler/914562
955070,0.3698630136986302,0.14383561643835624,0.003314184710561202,0.0,0.0,0.0,0.0,0.0,2.277507733097659,18000000,Ernest Nuamah,Right Winger,20,178,https://img.a.transfermarkt.technology/portrait/header/955070-1702991257.jpg?lm=1,Olympique Lyonnais,https://www.transfermarkt.co.uk/ernest-nuamah/profil/spieler/955070
967948,0.09750812567713975,0.09750812567713975,0.008125677139761646,0.0,0.0,0.0,0.0,0.0,0.7719393282773563,600000,Garang Kuol,Left Winger,19,175,https://img.a.transfermarkt.technology/portrait/header/967948-1697908437.jpg?lm=1,Newcastle United Football Club,https://www.transfermarkt.co.uk/garang-kuol/profil/spieler/967948
1028162,0.0,0.19189765458422176,0.00767590618336887,0.0,0.0,0.0,0.0,1.0,1.0680170575692964,1500000,Antoine Joujou,Left Winger,21,189,https://img.a.transfermarkt.technology/portrait/header/1028162-1683803729.jpg?lm=1,Le Havre Athletic Club,https://www.transfermarkt.co.uk/antoine-joujou/profil/spieler/1028162
1084065,0.10380622837370244,0.2076124567474049,0.019463667820069204,0.0,0.0,0.0,0.0,0.0,1.1224048442906576,350000,Arielson,Centre-Forward,20,180,https://img.a.transfermarkt.technology/portrait/header/1084065-1691654633.png?lm=1,FK Polissya Zhytomyr,https://www.transfermarkt.co.uk/arielson/profil/spieler/1084065
261780,0.21176470588235285,0.10588235294117643,0.0007352941176470588,0.0,0.0,0.0,0.0,0.0,1.3757352941176466,600000,Artem Shulyanskyi,Left Winger,23,173,https://img.a.transfermarkt.technology/portrait/header/261780-1724667185.png?lm=1,FC Oleksandriya,https://www.transfermarkt.co.uk/artem-shulyanskyi/profil/spieler/261780
345105,0.2633118782913982,0.026331187829139884,0.003118166979766561,0.0,0.0,0.0,0.0,0.0,1.392434787964644,2500000,Gökdeniz Bayrakdar,Right Winger,22,181,https://img.a.transfermarkt.technology/portrait/header/345105-1717099642.png?lm=1,Bodrumspor Spor Faaliyetleri Anonim Şirketi,https://www.transfermarkt.co.uk/gokdeniz-bayrakdar/profil/spieler/345105
412363,0.3805935721974461,0.29063509149623323,0.00034599415654313395,0.0,1.0,0.0,0.0,0.0,3.7745271413193873,110000000,Rodrygo,Right Winger,23,174,https://img.a.transfermarkt.technology/portrait/header/412363-1693988167.jpg?lm=1,Real Madrid Club de Fútbol,https://www.transfermarkt.co.uk/rodrygo/profil/spieler/412363
427572,0.05202312138728321,0.0,0.0052023121387283254,0.0,0.0,0.0,0.0,0.0,0.2549132947976877,3000000,Zuriko Davitashvili,Right Winger,23,175,https://img.a.transfermarkt.technology/portrait/header/427572-1634134875.png?lm=1,Association sportive de Saint-Étienne Loire,https://www.transfermarkt.co.uk/zuriko-davitashvili/profil/spieler/427572
430484,0.21778584392014536,0.05444646098003634,0.005671506352087115,0.0,0.0,1.0,0.0,1.0,3.746597096188749,500000,Vladimir Khubulov,Left Winger,23,179,https://img.a.transfermarkt.technology/portrait/header/430484-1722144803.png?lm=1,Akron Togliatti,https://www.transfermarkt.co.uk/vladimir-khubulov/profil/spieler/430484
432752,0.2880000000000001,0.14400000000000004,0.0,0.0,0.0,0.0,0.0,1.0,2.3720000000000008,1200000,Ivan Brnic,Left Winger,23,173,https://img.a.transfermarkt.technology/portrait/header/432752-1695299728.jpg?lm=1,Olympiakos Syndesmos Filathlon Peiraios,https://www.transfermarkt.co.uk/ivan-brnic/profil/spieler/432752
452464,0.10262257696693268,0.20524515393386536,0.0,0.0,0.0,0.0,1.0,0.0,2.1288483466362598,900000,Dardan Shabanhaxhaj,Centre-Forward,23,183,https://img.a.transfermarkt.technology/portrait/header/452464-1722142613.png?lm=1,FC Rubin Kazan,https://www.transfermarkt.co.uk/dardan-shabanhaxhaj/profil/spieler/452464
466810,0.5483751846381095,0.18279172821270273,0.0013150484044079358,0.000119549854946176,1.0,0.0,0.0,0.0,4.288338310149517,25000000,Ansu Fati,Left Winger,21,178,https://img.a.transfermarkt.technology/portrait/header/466810-1721828228.jpg?lm=1,Futbol Club Barcelona,https://www.transfermarkt.co.uk/ansu-fati/profil/spieler/466810
466811,0.0,0.18595041322314054,0.012678437265214126,0.0,0.0,0.0,0.0,1.0,1.0451728024042073,700000,Pablo Moreno,Centre-Forward,22,178,https://img.a.transfermarkt.technology/portrait/header/466811-1557304350.png?lm=1,CS Marítimo,https://www.transfermarkt.co.uk/pablo-moreno/profil/spieler/466811
486049,0.20655737704917976,0.26557377049180325,0.000737704918032787,6.147540983606557e-05,1.0,0.0,0.0,0.0,2.8284631147540953,65000000,Jérémy Doku,Left Winger,22,173,https://img.a.transfermarkt.technology/portrait/header/486049-1666699113.jpg?lm=1,Manchester City Football Club,https://www.transfermarkt.co.uk/jeremy-doku/profil/spieler/486049
503987,0.4886325076348826,0.2443162538174413,0.0006157163654673425,0.0,1.0,0.0,0.0,0.0,4.175495583261269,28000000,Noni Madueke,Right Winger,22,182,https://img.a.transfermarkt.technology/portrait/header/503987-1683102348.jpg?lm=1,Chelsea Football Club,https://www.transfermarkt.co.uk/noni-madueke/profil/spieler/503987
527896,0.28536585365853645,0.13170731707317054,0.00048780487804878043,0.0,0.0,0.0,0.0,0.0,1.821463414634145,1000000,Oliver Antman,Right Winger,23,185,https://img.a.transfermarkt.technology/portrait/header/527896-1625816490.jpg?lm=1,Go Ahead Eagles,https://www.transfermarkt.co.uk/oliver-antman/profil/spieler/527896
532826,0.4050088045392287,0.1496771668949322,0.0005537446056046336,5.537446056046337e-05,1.0,1.0,0.0,0.0,5.473244906472533,25000000,Mason Greenwood,Right Winger,22,181,https://img.a.transfermarkt.technology/portrait/header/532826-1693987766.jpg?lm=1,Olympique de Marseille,https://www.transfermarkt.co.uk/mason-greenwood/profil/spieler/532826
552057,0.4106910039113426,0.322685788787484,0.00217296827466319,0.0,1.0,0.0,1.0,0.0,5.019339417644502,12000000,Adam Hlozek,Second Striker,22,188,https://img.a.transfermarkt.technology/portrait/header/552057-1695368334.jpg?lm=1,TSG 1899 Hoffenheim Fußball-Spielbetriebs GmbH,https://www.transfermarkt.co.uk/adam-hlozek/profil/spieler/552057
552955,0.7777596608511321,0.1907712375672594,0.0017935757378118376,0.00016305233980107615,1.0,0.0,1.0,0.0,6.458503179520621,40000000,Santiago Gimenez,Centre-Forward,23,183,https://img.a.transfermarkt.technology/portrait/header/552955-1679137361.jpg?lm=1,Feyenoord Rotterdam,https://www.transfermarkt.co.uk/santiago-gimenez/profil/spieler/552955
559328,0.29339853300733443,0.04889975550122249,0.001063038163070054,0.0,0.0,0.0,1.0,0.0,2.61262889337727,12000000,Emanuel Emegha,Centre-Forward,21,195,https://img.a.transfermarkt.technology/portrait/header/559328-1664876881.png?lm=1,Racing Club de Strasbourg Alsace,https://www.transfermarkt.co.uk/emanuel-emegha/profil/spieler/559328
564449,0.24250044907490567,0.17783366265493106,0.0005914645099387943,0.00019715483664626478,0.0,0.0,0.0,0.0,1.7444259946461516,3500000,Million Manhoef,Right Winger,22,179,https://img.a.transfermarkt.technology/portrait/header/564449-1629617201.jpg?lm=1,Vitesse Arnhem,https://www.transfermarkt.co.uk/million-manhoef/profil/spieler/564449
566723,0.24531516183986338,0.39863713798977807,0.000999925931412488,0.0,0.0,0.0,0.0,0.0,2.4214872972372383,55000000,Michael Olise,Right Winger,22,184,https://img.a.transfermarkt.technology/portrait/header/566723-1696598775.jpg?lm=1,FC Bayern München,https://www.transfermarkt.co.uk/michael-olise/profil/spieler/566723
607226,0.23146163737676786,0.15430775825117868,0.003283143792578271,0.0,0.0,0.0,0.0,0.0,1.6169483178447972,8000000,Loum Tchaouna,Right Winger,21,180,https://img.a.transfermarkt.technology/portrait/header/607226-1695710683.jpg?lm=1,Società Sportiva Lazio S.p.A.,https://www.transfermarkt.co.uk/loum-tchaouna/profil/spieler/607226
609556,0.28541226215644827,0.0,0.015856236786469347,0.0,0.0,0.0,1.0,0.0,2.411205073995772,3000000,William Osula,Centre-Forward,21,186,https://img.a.transfermarkt.technology/portrait/header/609556-1693217416.jpg?lm=1,Newcastle United Football Club,https://www.transfermarkt.co.uk/william-osula/profil/spieler/609556
610429,0.23539668700959024,0.15693112467306014,0.009053718731138086,0.0,0.0,0.0,0.0,0.0,1.6387230903359933,2000000,Christian Rasmussen,Right Winger,21,184,https://img.a.transfermarkt.technology/portrait/header/610429-1722415254.jpg?lm=1,AFC Ajax Amsterdam,https://www.transfermarkt.co.uk/christian-rasmussen/profil/spieler/610429
616369,0.22018348623853237,0.09633027522935765,0.0013404027165495054,0.0,1.0,0.0,0.0,0.0,2.3885678541641853,20000000,Ander Barrenetxea,Left Winger,22,175,https://img.a.transfermarkt.technology/portrait/header/616369-1699472801.jpg?lm=1,Real Sociedad de Fútbol S.A.D.,https://www.transfermarkt.co.uk/ander-barrenetxea/profil/spieler/616369
627205,0.3377110694183863,0.22514071294559104,0.004894363324904152,0.0,0.0,0.0,0.0,0.0,2.3590831226038005,4000000,Griffin Yow,Right Winger,21,170,https://img.a.transfermarkt.technology/portrait/header/627205-1713450466.png?lm=1,Koninklijke Voetbal Club Westerlo,https://www.transfermarkt.co.uk/griffin-yow/profil/spieler/627205
627207,0.5263157894736848,0.13729977116704775,0.001271294177472667,0.0,1.0,0.0,1.0,0.0,5.0422069666920954,12000000,Ricardo Pepi,Centre-Forward,21,185,https://img.a.transfermarkt.technology/portrait/header/627207-1658600752.jpg?lm=1,Eindhovense Voetbalvereniging Philips Sport Vereniging,https://www.transfermarkt.co.uk/ricardo-pepi/profil/spieler/627207
627442,0.7720090293453726,0.12189616252821679,0.0009234557767289144,0.0,0.0,0.0,1.0,0.0,5.224810178534785,50000000,Benjamin Sesko,Centre-Forward,21,195,https://img.a.transfermarkt.technology/portrait/header/627442-1713897956.jpg?lm=1,RasenBallsport Leipzig,https://www.transfermarkt.co.uk/benjamin-sesko/profil/spieler/627442
